"Time","Symbol","Side","Type","Size","Price","Trade Value","Fee","Realized PnL"
"2025-11-12 09:12:26","MON","Close Long","Fulfill Taker","2312 MON","0.05253","$121.45","$0.05","-$2.98"
"2025-11-12 09:07:01","LINK","Open Long","Fulfill Taker","11.2 LINK","16.019","$179.41","$0.07","-$0.07"
"2025-11-12 09:07:01","LINK","Open Long","Fulfill Taker","1.5 LINK","16.018","$24.03","$0.01","-$0.01"
"2025-11-12 09:05:39","AAVE","Open Long","Fulfill Taker","0.95 AAVE","217.81","$206.92","$0.08","-$0.08"
"2025-11-12 08:41:07","ASTER","Open Long","Fulfill Taker","172.5 ASTER","1.19138","$205.51","$0.08","-$0.08"
"2025-11-12 08:41:07","ASTER","Open Long","Fulfill Taker","10 ASTER","1.19086","$11.91","$0","-$0"
"2025-11-12 08:38:05","PUMP","Open Long","Fulfill Taker","48560 PUMP","0.004427","$214.98","$0.09","-$0.09"
"2025-11-12 07:51:07","MON","Open Long","Fulfill Taker","2312 MON","0.0538","$124.39","$0.05","-$0.05"
"2025-11-12 07:35:21","LDO","Open Long","Fulfill Taker","243.6 LDO","0.8584","$209.11","$0.08","-$0.08"
"2025-11-12 07:20:12","XPL","Open Long","Fulfill Taker","771 XPL","0.2736","$210.95","$0.08","-$0.08"
"2025-11-12 06:54:56","ENA","Open Long","Fulfill Taker","628 ENA","0.32425","$203.63","$0.08","-$0.08"
"2025-11-12 06:50:51","ZEC","Open Long","Fulfill Taker","0.43 ZEC","476.6","$204.94","$0.08","-$0.08"
"2025-11-12 06:05:32","FARTCOIN","Open Long","Fulfill Taker","674 FARTCOIN","0.3035","$204.56","$0.08","-$0.08"
"2025-11-12 05:55:25","VIRTUAL","Open Long","Fulfill Taker","155 VIRTUAL","1.4066","$218.02","$0.09","-$0.09"
"2025-11-12 05:54:52","VIRTUAL","Close Short","Fulfill Maker","0.1 VIRTUAL","1.4083","$0.14","$0","-$0"
"2025-11-12 05:50:23","SOL","Close Short","Fulfill Taker","0.2 SOL","157.88","$31.58","$0.01","-$0.26"
"2025-11-12 05:39:19","DOGE","Close Short","Fulfill Taker","173 DOGE","0.17439","$30.17","$0.01","-$0.28"
"2025-11-12 05:39:19","SUI","Close Short","Fulfill Taker","16.8 SUI","2.0492","$34.43","$0.01","-$0.45"
"2025-11-12 05:39:18","BNB","Close Short","Fulfill Taker","0.03 BNB","964.08","$28.92","$0.01","-$0.21"
"2025-11-12 05:23:11","CRV","Close Short","Fulfill Taker","84 CRV","0.4775","$40.11","$0.02","-$0.52"
"2025-11-12 04:58:05","ASTER","Close Long","Fulfill Taker","180.5 ASTER","1.11525","$201.3","$0.08","-$5.87"
"2025-11-12 03:42:28","HYPE","Close Short","Fulfill Maker","0.1 HYPE","39.621","$3.96","$0","-$0.08"
"2025-11-12 03:19:10","TAO","Close Short","Fulfill Taker","0.1 TAO","368.53","$36.85","$0.01","-$0.51"
"2025-11-12 02:49:55","ASTER","Open Long","Fulfill Taker","180.5 ASTER","1.1473","$207.09","$0.08","-$0.08"
"2025-11-12 02:34:48","PENGU","Close Short","Fulfill Taker","2610 PENGU","0.014758","$38.52","$0.02","-$0.01"
"2025-11-12 02:34:48","LINK","Close Short","Fulfill Taker","2 LINK","15.44","$30.88","$0.01","-$0.02"
"2025-11-12 02:34:47","AVAX","Close Short","Fulfill Taker","2 AVAX","17.251","$34.5","$0.01","-$0.27"
"2025-11-12 02:34:47","ENA","Close Short","Fulfill Taker","120 ENA","0.31258","$37.51","$0.02","+$0.08"
"2025-11-12 02:19:39","FARTCOIN","Close Short","Fulfill Taker","122 FARTCOIN","0.2928","$35.72","$0.01","+$0.88"
"2025-11-12 02:19:39","HYPE","Close Short","Fulfill Taker","0.6 HYPE","39.341","$23.6","$0.01","-$0.29"
"2025-11-12 01:04:05","AAVE","Close Short","Fulfill Taker","0.15 AAVE","211.72","$31.76","$0.01","-$0.19"
"2025-11-11 23:48:31","UNI","Close Short","Fulfill Taker","4 UNI","8.371","$33.48","$0.01","+$0.99"
"2025-11-11 23:03:10","LDO","Close Short","Fulfill Taker","46.7 LDO","0.8242","$38.49","$0.02","-$0.96"
"2025-11-11 22:52:02","ZEC","Close Short","Fulfill Maker","0.09 ZEC","465.32","$41.88","$0.01","-$2.14"
"2025-11-11 22:25:23","PUMP","Close Short","Fulfill Taker","7870 PUMP","0.00403","$31.72","$0.01","+$1.96"
"2025-11-11 21:13:30","2Z","Close Short","Fulfill Taker","126 2Z","0.1728","$21.77","$0.01","+$0.77"
"2025-11-11 21:10:57","XPL","Close Short","Fulfill Taker","142 XPL","0.2605","$36.99","$0.01","+$1.58"
"2025-11-11 20:53:05","MON","Close Long","Fulfill Taker","358 MON","0.05094","$18.24","$0.01","-$0.24"
"2025-11-11 20:51:26","ZEC","Open Short","Fulfill Taker","0.09 ZEC","441.57","$39.74","$0.02","-$0.02"
"2025-11-11 20:50:54","ZEC","Close Short","Fulfill Taker","0.08 ZEC","443.15","$35.45","$0.01","+$3.26"
"2025-11-11 20:48:25","ASTER","Close Long","Fulfill Taker","28.7 ASTER","1.08626","$31.18","$0.01","-$0.24"
"2025-11-11 20:33:15","MON","Open Long","Fulfill Taker","358 MON","0.05158","$18.47","$0.01","-$0.01"
"2025-11-11 19:46:01","MON","Close Short","Fulfill Maker","343 MON","0.05146","$17.65","$0","-$0.1"
"2025-11-11 19:45:51","MON","Close Short","Fulfill Maker","1 MON","0.05146","$0.05","$0","-$0"
"2025-11-11 19:45:20","MON","Close Short","Fulfill Maker","1 MON","0.05146","$0.05","$0","-$0"
"2025-11-11 19:45:00","MON","Close Short","Fulfill Maker","1 MON","0.05146","$0.05","$0","-$0"
"2025-11-11 19:44:39","MON","Close Short","Fulfill Maker","1 MON","0.05146","$0.05","$0","-$0"
"2025-11-11 19:44:19","MON","Close Short","Fulfill Maker","1 MON","0.05146","$0.05","$0","-$0"
"2025-11-11 19:30:41","MON","Open Short","Fulfill Taker","348 MON","0.05117","$17.81","$0.01","-$0.01"
"2025-11-11 19:29:40","MON","Close Short","Fulfill Taker","376 MON","0.05127","$19.28","$0.01","-$0.32"
"2025-11-11 18:47:35","MON","Open Short","Fulfill Taker","376 MON","0.05044","$18.97","$0.01","-$0.01"
"2025-11-11 18:23:21","ZEC","Open Short","Fulfill Taker","0.08 ZEC","484.12","$38.73","$0.02","-$0.02"
"2025-11-11 18:22:20","ZEC","Close Short","Fulfill Taker","0.08 ZEC","485.14","$38.81","$0.02","-$1.57"
"2025-11-11 17:52:02","2Z","Open Short","Fulfill Taker","126 2Z","0.179","$22.55","$0.01","-$0.01"
"2025-11-11 17:35:48","CRV","Open Short","Fulfill Taker","84 CRV","0.4715","$39.61","$0.02","-$0.02"
"2025-11-11 17:35:46","LDO","Open Short","Fulfill Taker","46.7 LDO","0.804","$37.55","$0.02","-$0.02"
